Placa,dia,Modelo,Odómetro Final,Odómetro Inicial,Distancia Diaria,Consumo Promedio [kWh/km],Energía [kWh],Costo Aproximado [$],kgCO2,Scoring,Nro. de Veloc.,Penalización Veloc.,Nro. de Acel.,Penalización Acel.,Nro. de Fren.,Penalización Fren.
A788AH,29/7/2024,BYD T018 SWB,"19,405.00","19,324.00",81,"0,824","66,78","173,63","28,72",100,0.0,0.0,0.0,0,0.0,0
A788AH,27/7/2024,BYD T018 SWB,"19,324.00","19,287.00",37,"0,824","30,5","79,3","13,12",100,0.0,0.0,1.0,0,1.0,0
A788AH,26/7/2024,BYD T018 SWB,"19,287.00","19,214.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,0.0,0,0.0,0
A788AH,25/7/2024,BYD T018 SWB,"19,214.00","19,140.00",74,"0,824","61,01","158,63","26,23",100,0.0,0.0,0.0,0,0.0,0
A788AH,24/7/2024,BYD T018 SWB,"19,140.00","19,066.00",74,"0,824","61,01","158,63","26,23",100,0.0,0.0,1.0,0,0.0,0
A788AH,23/7/2024,BYD T018 SWB,"19,066.00","18,954.00",112,"0,824","92,33","240,06","39,7",100,0.0,0.0,1.0,0,0.0,0
A788AH,20/7/2024,BYD T018 SWB,"18,954.00","18,919.00",35,"0,824","28,85","75,01","12,41",100,0.0,0.0,0.0,0,0.0,0
A788AH,19/7/2024,BYD T018 SWB,"18,919.00","18,846.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,1.0,0,1.0,0
A788AH,18/7/2024,BYD T018 SWB,"18,846.00","18,772.00",74,"0,824","61,01","158,63","26,23",100,0.0,0.0,0.0,0,0.0,0
A788AH,17/7/2024,BYD T018 SWB,"18,772.00","18,699.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,0.0,0,0.0,0
A788AH,13/7/2024,BYD T018 SWB,"18,663.00","18,628.00",35,"0,824","28,85","75,01","12,41",100,0.0,0.0,1.0,0,0.0,0
