Placa,dia,Modelo,Odómetro Final,Odómetro Inicial,Distancia Diaria,Consumo Promedio [kWh/km],Energía [kWh],Costo Aproximado [$],kgCO2,Scoring,Nro. de Veloc.,Penalización Veloc.,Nro. de Acel.,Penalización Acel.,Nro. de Fren.,Penalización Fren.
RD1185A,2024-06-05,VW eDelivery,5005,4961.0,44.0,0.92,40.48,63.15,17.41,100,0.0,0,0.0,0,0.0,0
RN4491A,2024-06-05,VW eDelivery,6972,6951.0,21.0,0.58,12.18,19.0,5.24,100,0.0,0,0.0,0,0.0,0
RE7115A,2024-06-04,BYD T018 SWB,20556,20530.0,26.0,1.15,29.77,46.44,12.8,100,0.0,0,0.0,0,1.0,0
RE7700A,2024-06-04,BYD T018 SWB,21763,21692.0,71.0,1.17,82.92,129.36,35.66,9.909.999.996.423.720,0.0,0,0.0,0,4.0,0.9000000357627869
RE7701A,2024-06-04,BYD T018 SWB,23678,23621.0,57.0,1.12,63.96,99.78,27.5,,,,,,,
RE7708A,2024-06-04,BYD T018 SWB,20914,20827.0,87.0,1.28,111.57,174.05,47.98,100,0.0,0,1.0,0,0.0,0
RE7711A,2024-06-04,BYD T018 SWB,19459,19389.0,70.0,1.21,84.96,132.54,36.53,100,0.0,0,0.0,0,1.0,0
RE7713A,2024-06-04,BYD T018 SWB,19576,19442.0,134.0,1.17,156.5,244.14,67.3,9.429.999.977.350.230,0.0,0,1.0,0,20.0,570.000.022.649.765
RE7716A,2024-06-04,BYD T018 SWB,25323,25253.0,70.0,1.19,83.36,130.04,35.84,9.829.999.995.231.620,0.0,0,3.0,0.800000011920929,4.0,0.9000000357627869
RD1185A,2024-06-04,VW eDelivery,4961,4903.0,58.0,0.92,53.36,83.24,22.94,9.979.999.999.701.970,2.0,0.20000000298023224,0.0,0,0.0,0
RN4491A,2024-06-04,VW eDelivery,6951,6936.0,15.0,0.58,8.7,13.57,3.74,100,0.0,0,0.0,0,0.0,0
RE7115A,2024-06-03,BYD T018 SWB,20530,20461.0,69.0,1.15,79.01,123.26,33.97,9.919.999.998.807.900,0.0,0,3.0,0.800000011920929,0.0,0
RE7700A,2024-06-03,BYD T018 SWB,21692,21651.0,41.0,1.17,47.88,74.69,20.59,100,0.0,0,1.0,0,0.0,0
RE7701A,2024-06-03,BYD T018 SWB,23621,23621.0,0.0,1.12,0.0,0.0,0.0,,,,,,,
RE7703A,2024-06-03,BYD T018 SWB,22478,22417.0,61.0,1.17,71.24,111.13,30.63,100,0.0,0,1.0,0,1.0,0
