dia;Operador;Modelo;Placa;Odometro Final;Odometro Inicial;Distancia Diaria;energy;kWh/km
27/06/2023;GRUPO MODELO;BYD T018 SWB;RE7705A;6010;6010;0;0;NULL
18/08/2023;GRUPO MODELO;VW eDelivery;RN4490A;11232;11232;0;0;NULL
20/02/2024;DEMOS;JAC E Sunray;DEMO-DHL;5456;5456;0;0;NULL
15/04/2024;99 MINUTOS;Dayun E3;A404AG;13796;13796;0;NULL;NULL
18/04/2024;DEMOS;Yutong ZK6180BEVG;DEMO-18M-L4;61396;61396;0;NULL;NULL
22/04/2024;LALA;BYD T45;31J865;14176;14176;0;0;NULL
01/06/2024;LALA;BYD T45;EU2283C;117;NULL;NULL;NULL;NULL
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;1210276;208825;208528;297;384,59;1,29
01/06/2024;LALA;BYD T45;31J774;13995;NULL;NULL;NULL;NULL
01/06/2024;MAXUS;AT EV 2.5;LSF1L2301PD200772;4407;NULL;NULL;NULL;NULL
01/06/2024;BOSQUES DE SANTA FE;JAC EJ7;42F134;123627;123376;251;44,01;0,18
01/06/2024;LALA;JAC E10X;57J996;42;NULL;NULL;NULL;NULL
01/06/2024;LALA;BYD T45;31J773;14099;14065;34;29,62;0,87
01/06/2024;LALA;BYD T45;PX1147B;115;NULL;NULL;NULL;NULL
01/06/2024;HEINEKEN;BYD T018 SWB;19194;12109;NULL;NULL;NULL;NULL
01/06/2024;BOSQUES DE SANTA FE;JAC EJ7;26F459;158826;158590;236;42,56;0,18
01/06/2024;LALA;JAC E10X;58J046;79;79;0;0;NULL
01/06/2024;GRUPO MODELO;BYD T018 SWB;RE7710A;21195;NULL;NULL;NULL;NULL
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A013;251374;251123;251;325,02;1,29
01/06/2024;HEINEKEN;BYD T018 SWB;19192;10040;NULL;NULL;NULL;NULL
01/06/2024;LALA;BYD T45;32J974;16097;16060;37;30,04;0,81
01/06/2024;DHL-Brasil;JAC IEV1200T PLUS;GHQ8J41;13531;13531;0;NULL;NULL
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A015;250729;250729;0;0;NULL
01/06/2024;LALA;BYD T45;33J145;14911;NULL;NULL;NULL;NULL
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A009;243064;242775;289;357,96;1,24
01/06/2024;LALA;BYD T45;31J868;16929;16887;42;32,02;0,76
01/06/2024;GRUPO MODELO;BYD T018 SWB;RE7708A;20780;20779;1;1,28;1,28
01/06/2024;GRUPO MODELO;BYD T018 SWB;RE7701A;23621;NULL;NULL;NULL;NULL
01/06/2024;HEINEKEN;BYD T018 SWB;19193;7411;7382;29;25,9;0,89
01/06/2024;SUPREME RESOURCES;BYD T018 SWB;A788AH;16622;16587;35;28,85;0,82
01/06/2024;LALA;BYD T45;RH1593A;14582;NULL;NULL;NULL;NULL
01/06/2024;LALA;BYD T45;RN1592A;17013;16974;39;33,2;0,85
01/06/2024;SIGMA ALIMENTOS;JAC E10X;28J439;44417;44325;92;12,42;0,14
01/06/2024;LALA;BYD T45;16N961;20276;NULL;NULL;NULL;NULL
01/06/2024;LALA;BYD T45;31J867;13405;13372;33;26,79;0,81
01/06/2024;ANDESMAR;Nissan Leaf;AF640FI;1390;NULL;NULL;NULL;NULL
01/06/2024;BOSQUES DE SANTA FE;JAC EJ7;28F749;135056;134857;199;38,88;0,2
01/06/2024;GRUPO MODELO;BYD T018 SWB;RE7713A;19357;19357;0;0;NULL
01/06/2024;LALA;BYD T45;FB0486B;13742;NULL;NULL;NULL;NULL
01/06/2024;LALA;BYD T45;LG26417;13024;12986;38;33,48;0,88
01/06/2024;LIVERPOOL;FORD eTransit;32J307;13538;13538;0;0;NULL
01/06/2024;SUPREME RESOURCES;BYD T45;A737AG;11827;11789;38;14,67;0,39
01/06/2024;BOSQUES DE SANTA FE;JAC EJ7;26F433;141749;141599;150;24,8;0,17
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A011;244342;244079;263;340,56;1,29
01/06/2024;LALA;BYD T45;16N962;10357;NULL;NULL;NULL;NULL
01/06/2024;GRUPO MODELO;BYD T018 SWB;RE7700A;21651;21651;0;0;NULL
01/06/2024;DEMOS;Yutong E12;DEMO-12M-MTY;51378;51378;0;0;NULL
01/06/2024;GRUPO MODELO;BYD T018 SWB;RE7703A;22417;22416;1;1,17;1,17
01/06/2024;LALA;JAC E10X;57J998;77;NULL;NULL;NULL;NULL
01/06/2024;GRUPO MODELO;VW eDelivery;RN4491A;6900;6899;1;0,58;0,58
01/06/2024;LIVERPOOL;Renault Kangoo;24J527;90235;NULL;NULL;NULL;NULL
01/06/2024;LALA;BYD T45;31J780;20999;NULL;NULL;NULL;NULL
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A010;244220;243916;304;376,53;1,24
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A016;247686;247388;298;385,88;1,29
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A014;249537;249226;311;402,71;1,29
01/06/2024;GRUPO MODELO;BYD T018 SWB;RE7716A;25190;25190;0;0;NULL
01/06/2024;SIGMA ALIMENTOS;JAC E10X;28J427;46001;45886;115;18,06;0,16
01/06/2024;ANDESMAR;Nissan Leaf;AF396WR;21140;NULL;NULL;NULL;NULL
01/06/2024;GRUPO MODELO;BYD T018 SWB;RE7706A;27854;NULL;NULL;NULL;NULL
01/06/2024;MAXUS;AT EV 2.5;LSF1L2303PD200773;4418;NULL;NULL;NULL;NULL
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A012;242557;242258;299;387,18;1,29
01/06/2024;BIMBO;BYD T4C;49J620;2725;2686;39;16,8;0,43
01/06/2024;GRUPO MODELO;BYD T018 SWB;RE7711A;19290;19289;1;1,21;1,21
01/06/2024;LALA;BYD T45;32J973;15133;15107;26;22,65;0,87
01/06/2024;GRUPO MODELO;BYD T018 SWB;RE7115A;20461;20460;1;1,17;1,17
01/06/2024;LALA;JAC E10X;58J362;62;NULL;NULL;NULL;NULL
01/06/2024;LIVERPOOL;JAC E Sunray;25J829;19387;NULL;NULL;NULL;NULL
01/06/2024;LALA;BYD T45;32J980;20541;NULL;NULL;NULL;NULL
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A017;240126;239828;298;369,1;1,24
01/06/2024;LALA;BYD T45;33J082;14160;14126;34;27,26;0,8
01/06/2024;ANDESMAR;Nissan Leaf;AF640FM;4149;3971;178;NULL;NULL
01/06/2024;LIVERPOOL;FORD eTransit;35J480;27390;NULL;NULL;NULL;NULL
01/06/2024;LIVERPOOL;Renault Kangoo;33J570;18594;NULL;NULL;NULL;NULL
02/06/2024;GRUPO MODELO;VW eDelivery;RN4491A;6900;6900;0;0;NULL
02/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A010;244501;244220;281;348,05;1,24
02/06/2024;GRUPO MODELO;BYD T018 SWB;RE7716A;25190;25190;0;0;NULL
02/06/2024;LALA;BYD T45;33J145;14911;14911;0;0;NULL
02/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A014;249819;249537;282;365,16;1,29
02/06/2024;LALA;BYD T45;31J774;13995;13995;0;0;NULL
02/06/2024;LALA;BYD T45;LG23170;153;NULL;NULL;NULL;NULL
02/06/2024;SIGMA ALIMENTOS;JAC E10X;28J427;46001;46001;0;0;NULL
02/06/2024;GRUPO MODELO;BYD T018 SWB;RE7703A;22417;22417;0;0;NULL
02/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A012;242823;242557;266;344,44;1,29
02/06/2024;GRUPO MODELO;BYD T018 SWB;RE7708A;20780;20780;0;0;NULL
02/06/2024;LALA;JAC E10X;57J869;113;NULL;NULL;NULL;NULL
02/06/2024;GRUPO MODELO;BYD T018 SWB;RE7115A;20461;20461;0;0;NULL
02/06/2024;BOSQUES DE SANTA FE;JAC EJ7;26F433;141994;141749;245;40,51;0,17
02/06/2024;LALA;JAC E10X;58J363;79;NULL;NULL;NULL;NULL
02/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;1210276;209075;208825;250;323,73;1,29
02/06/2024;GRUPO MODELO;BYD T018 SWB;RE7711A;19290;19290;0;0;NULL
02/06/2024;HEINEKEN;BYD T018 SWB;19193;7411;7411;0;0;NULL
02/06/2024;GRUPO MODELO;BYD T018 SWB;RE7701A;23621;23621;0;0;NULL
02/06/2024;LALA;BYD T45;32J980;20541;20541;0;0;NULL
02/06/2024;LALA;BYD T45;32J974;16097;16097;0;0;NULL
02/06/2024;LALA;BYD T45;33J082;14161;14160;1;0,8;0,8
02/06/2024;GRUPO MODELO;BYD T018 SWB;RE7700A;21651;21651;0;0;NULL
02/06/2024;LIVERPOOL;Renault Kangoo;24J527;90235;90235;0;0;NULL
02/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A016;247984;247686;298;385,88;1,29
02/06/2024;ANDESMAR;Nissan Leaf;AF640FM;4385;4149;236;NULL;NULL
02/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A017;240368;240126;242;299,74;1,24
02/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A015;250729;250729;0;0;NULL
02/06/2024;ANDESMAR;Nissan Leaf;AF305NK;4225;NULL;NULL;NULL;NULL
02/06/2024;LALA;BYD T45;31J773;14099;14099;0;0;NULL
02/06/2024;LALA;BYD T45;31J867;13405;13405;0;0;NULL
02/06/2024;BOSQUES DE SANTA FE;JAC EJ7;26F459;159058;158826;232;41,84;0,18
02/06/2024;BOSQUES DE SANTA FE;JAC EJ7;42F134;123797;123627;170;29,81;0,18
02/06/2024;BOSQUES DE SANTA FE;JAC EJ7;80F209;155649;NULL;NULL;NULL;NULL
02/06/2024;ANDESMAR;Nissan Leaf;AF640FI;1393;1390;3;NULL;NULL
02/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A013;251698;251374;324;419,55;1,29
02/06/2024;BOSQUES DE SANTA FE;JAC EJ7;28F749;135401;135056;345;67,41;0,2
02/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A009;243269;243064;205;253,91;1,24
02/06/2024;GRUPO MODELO;BYD T018 SWB;RE7713A;19357;19357;0;0;NULL
02/06/2024;LALA;BYD T45;LG23182;158;NULL;NULL;NULL;NULL
02/06/2024;LALA;BYD T45;EU2280C;117;NULL;NULL;NULL;NULL
03/06/2024;GRUPO MODELO;VW eDelivery;RD1185A;4903;NULL;NULL;NULL;NULL
03/06/2024;LALA;BYD T45;32J974;16136;16097;39;31,66;0,81
03/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A013;252002;251698;304;393,65;1,29
03/06/2024;UNILEVER;Fotón TM3;LG25459;1368;1316;52;17,74;0,34
03/06/2024;BOSQUES DE SANTA FE;JAC EJ7;26F433;142201;141994;207;34,22;0,17
03/06/2024;GRUPO MODELO;BYD T018 SWB;RE7115A;20530;20461;69;80,59;1,17
03/06/2024;LALA;BYD T45;32J980;20591;20541;50;37,13;0,74
03/06/2024;HEINEKEN;BYD T018 SWB;19194;12147;12109;38;40,03;1,05
03/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A017;240623;240368;255;315,84;1,24
03/06/2024;HEINEKEN;BYD T018 SWB;19192;10058;10040;18;13,6;0,76
03/06/2024;LALA;JAC E10X;58J046;79;79;0;0;NULL
03/06/2024;LALA;BYD T45;16N961;20320;20276;44;26,57;0,6
03/06/2024;LALA;BYD T45;FB0486B;13773;13742;31;21,48;0,69
03/06/2024;LALA;JAC E10X;58J364;50;NULL;NULL;NULL;NULL
03/06/2024;LALA;BYD T45;16N962;10380;10357;23;18,67;0,81
03/06/2024;UNILEVER;Fotón S3;LG02465;7492;7424;68;43,26;0,64
03/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A009;243609;243269;340;421,12;1,24
03/06/2024;LALA;JAC E10X;57J998;77;77;0;0;NULL
03/06/2024;ANDESMAR;Nissan Leaf;AF305NK;4225;4225;0;0;NULL
03/06/2024;LALA;BYD T45;LG23179;201;NULL;NULL;NULL;NULL
03/06/2024;GRUPO MODELO;BYD T018 SWB;RE7716A;25253;25190;63;75,02;1,19
03/06/2024;MAXUS;AT EV 2.5;LSF1L2303PD200773;4482;4418;64;NULL;NULL
03/06/2024;LALA;BYD T45;31J773;14133;14099;34;29,62;0,87
03/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;1210276;209390;209075;315;407,89;1,29
03/06/2024;GRUPO MODELO;VW eDelivery;RN4491A;6936;6900;36;20,88;0,58
03/06/2024;ANDESMAR;Nissan Leaf;AF396WR;21184;21140;44;NULL;NULL
03/06/2024;LALA;JAC E10X;58J363;79;79;0;0;NULL
03/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A010;244799;244501;298;369,1;1,24
03/06/2024;BOSQUES DE SANTA FE;JAC EJ7;42F134;123965;123797;168;29,46;0,18
03/06/2024;LALA;BYD T45;LG23180;198;NULL;NULL;NULL;NULL
03/06/2024;LALA;BYD T45;EU2281C;100;NULL;NULL;NULL;NULL
03/06/2024;MAXUS;AT EV 2.5;LSF1L2301PD200772;4448;4407;41;NULL;NULL
03/06/2024;DHL-Brasil;JAC IEV1200T PLUS;EMA3G24;12928;NULL;NULL;NULL;NULL
03/06/2024;LALA;BYD T45;31J774;14018;13995;23;20,04;0,87
03/06/2024;UNILEVER;Fotón S3;LG02452;7629;7571;58;30,97;0,53
03/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A014;250073;249819;254;328,9;1,29
03/06/2024;GRUPO MODELO;BYD T018 SWB;RE7700A;21692;21651;41;47,88;1,17
03/06/2024;SUPREME RESOURCES;BYD T45;A737AG;11903;11827;76;29,34;0,39
03/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A016;248297;247984;313;405,3;1,29
03/06/2024;LIVERPOOL;FORD eTransit;32J307;13593;13538;55;14,37;0,26
03/06/2024;GRUPO MODELO;BYD T018 SWB;RE7713A;19442;19357;85;99,27;1,17
03/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A011;244645;244342;303;392,35;1,29
03/06/2024;LALA;BYD T45;LG23176;150;NULL;NULL;NULL;NULL
03/06/2024;PEPSICO;BYD T4C;LA95BN27XN01C0011;798;NULL;NULL;NULL;NULL
03/06/2024;BOSQUES DE SANTA FE;JAC EJ7;28F749;135536;135401;135;26,38;0,2
03/06/2024;GRUPO MODELO;BYD T018 SWB;RE7701A;23621;23621;0;0;NULL
03/06/2024;ANDESMAR;Nissan Leaf;AF640FI;1396;1393;3;NULL;NULL
03/06/2024;LALA;BYD T45;EU2193C;104;NULL;NULL;NULL;NULL
03/06/2024;LALA;BYD T45;31J867;13444;13405;39;31,66;0,81
03/06/2024;LALA;BYD T45;RN1592A;17055;17013;42;35,76;0,85
03/06/2024;HEINEKEN;BYD T018 SWB;19193;7433;7411;22;19,65;0,89
03/06/2024;SUPREME RESOURCES;BYD T018 SWB;A788AH;16697;16622;75;61,83;0,82
03/06/2024;LALA;BYD T45;RH1593A;14612;14582;30;23,17;0,77
03/06/2024;GRUPO MODELO;BYD T018 SWB;RE7708A;20827;20780;47;60,27;1,28
03/06/2024;LALA;BYD T45;31J868;16966;16929;37;28,21;0,76
03/06/2024;LIVERPOOL;FORD eTransit;35J480;27456;27390;66;15,03;0,23
03/06/2024;LALA;BYD T45;33J145;14947;14911;36;29,58;0,82
03/06/2024;LALA;BYD T45;PX1148B;100;NULL;NULL;NULL;NULL
03/06/2024;LALA;BYD T45;32J972;15983;NULL;NULL;NULL;NULL
03/06/2024;DHL-Brasil;JAC IEV1200T PLUS;GHQ8J41;13689;13531;158;NULL;NULL
03/06/2024;LIVERPOOL;Renault Kangoo;33J570;18713;18594;119;17,67;0,15
03/06/2024;BOSQUES DE SANTA FE;JAC EJ7;26F459;159148;159058;90;16,23;0,18
03/06/2024;ANDESMAR;Nissan Leaf;AF640FM;4514;4385;129;NULL;NULL
03/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A015;251012;250729;283;350,52;1,24
03/06/2024;LALA;BYD T45;33J082;14188;14161;27;21,65;0,8
03/06/2024;SIGMA ALIMENTOS;JAC E10X;28J427;46102;46001;101;15,86;0,16
03/06/2024;BIMBO;BYD T4C;49J620;2763;2725;38;16,37;0,43
03/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A012;243079;242823;256;331,49;1,29
03/06/2024;SIGMA ALIMENTOS;JAC E10X;28J438;58645;NULL;NULL;NULL;NULL
03/06/2024;LIVERPOOL;Renault Kangoo;24J527;90283;90235;48;8,71;0,18
03/06/2024;LALA;BYD T45;LG26417;13055;13024;31;27,31;0,88
03/06/2024;GRUPO MODELO;BYD T018 SWB;RE7703A;22478;22417;61;71,24;1,17
03/06/2024;GRUPO MODELO;BYD T018 SWB;RE7711A;19389;19290;99;120,16;1,21
03/06/2024;SIGMA ALIMENTOS;JAC E10X;28J439;44526;44417;109;14,72;0,14
04/06/2024;LALA;BYD T45;LG23186;159;NULL;NULL;NULL;NULL
04/06/2024;BOSQUES DE SANTA FE;JAC EJ7;26F459;159234;159148;86;15,51;0,18
04/06/2024;LALA;BYD T45;EU2193C;121;104;17;11,44;0,67
04/06/2024;LALA;BYD T45;LG23183;159;NULL;NULL;NULL;NULL
04/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A017;240907;240623;284;351,76;1,24
04/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A014;250338;250073;265;343,15;1,29
04/06/2024;HEINEKEN;BYD T018 SWB;19192;10101;10058;43;32,5;0,76
04/06/2024;LALA;BYD T45;31J867;13478;13444;34;27,6;0,81
04/06/2024;GRUPO MODELO;BYD T018 SWB;RE7711A;19459;19389;70;84,96;1,21
04/06/2024;DHL-Brasil;JAC IEV1200T PLUS;EMA3G24;13089;12928;161;NULL;NULL
04/06/2024;SIGMA ALIMENTOS;JAC E10X;28J439;44612;44526;86;11,61;0,14
04/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A013;252314;252002;312;404,01;1,29
04/06/2024;LALA;BYD T45;16N961;20376;20320;56;33,82;0,6
04/06/2024;LALA;BYD T45;31J866;14031;NULL;NULL;NULL;NULL
04/06/2024;LALA;BYD T45;RN1592A;17091;17055;36;30,65;0,85
04/06/2024;LALA;BYD T45;31J772;9796;NULL;NULL;NULL;NULL
04/06/2024;DHL-Brasil;JAC IEV1200T PLUS;GHQ8J41;13744;13689;55;NULL;NULL
04/06/2024;LALA;BYD T45;EU2280C;117;117;0;0;NULL
04/06/2024;LALA;BYD T45;LG23190;180;NULL;NULL;NULL;NULL
04/06/2024;LALA;BYD T45;PX1148B;100;100;0;0;NULL
04/06/2024;LALA;JAC E10X;58J364;50;50;0;0;NULL
04/06/2024;BOSQUES DE SANTA FE;JAC EJ7;26F433;142408;142201;207;34,22;0,17
04/06/2024;LALA;BYD T45;32J972;16012;15983;29;NULL;NULL
04/06/2024;GRUPO MODELO;BYD T018 SWB;RE7115A;20556;20530;26;30,37;1,17
04/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A010;245088;244799;289;357,96;1,24
04/06/2024;LALA;BYD T45;LG23182;186;158;28;23,28;0,83
04/06/2024;UNILEVER;Fotón S3;LG02452;7668;7629;39;20,82;0,53
04/06/2024;SUPREME RESOURCES;BYD T018 SWB;A788AH;16734;16697;37;30,5;0,82
04/06/2024;SIGMA ALIMENTOS;JAC E10X;28J427;46190;46102;88;13,82;0,16
04/06/2024;LALA;BYD T45;33J145;14981;14947;34;27,94;0,82
04/06/2024;LALA;JAC E10X;58J361;72;NULL;NULL;NULL;NULL
04/06/2024;LALA;BYD T45;LG26417;13096;13055;41;36,13;0,88
04/06/2024;LALA;BYD T45;RH1593A;14651;14612;39;30,12;0,77
04/06/2024;MAXUS;AT EV 2.5;LSF1L2301PD200772;4525;4448;77;NULL;NULL
04/06/2024;LIVERPOOL;FORD eTransit;35J480;27512;27456;56;12,76;0,23
04/06/2024;LALA;BYD T45;32J981;16400;NULL;NULL;NULL;NULL
04/06/2024;LALA;BYD T45;LG23191;248;NULL;NULL;NULL;NULL
04/06/2024;GRUPO MODELO;BYD T018 SWB;RE7708A;20914;20827;87;111,57;1,28
04/06/2024;UNILEVER;Fotón S3;LG02465;7523;7492;31;19,72;0,64
04/06/2024;CEMEX;Q3MA;14BA7R;11705;NULL;NULL;NULL;NULL
04/06/2024;MAXUS;AT EV 2.5;LSF1L2303PD200773;4629;4482;147;NULL;NULL
04/06/2024;GRUPO MODELO;VW eDelivery;RN4491A;6951;6936;15;8,7;0,58
04/06/2024;LALA;BYD T45;LG23179;208;201;7;5,13;0,73
04/06/2024;LALA;BYD T45;31J868;16999;16966;33;25,16;0,76
04/06/2024;LALA;BYD T45;EU2283C;118;117;1;0,59;0,59
04/06/2024;GRUPO MODELO;BYD T018 SWB;RE7716A;25323;25253;70;83,36;1,19
04/06/2024;LALA;BYD T45;31J774;14030;14018;12;10,45;0,87
04/06/2024;LIVERPOOL;FORD eTransit;32J307;13620;13593;27;7,06;0,26
04/06/2024;LALA;BYD T45;LG23185;160;NULL;NULL;NULL;NULL
04/06/2024;GRUPO MODELO;BYD T018 SWB;RE7700A;21763;21692;71;82,92;1,17
04/06/2024;LALA;BYD T45;LG23170;181;153;28;19,96;0,71
04/06/2024;LALA;BYD T45;LPESKB3B4N0000078;164;NULL;NULL;NULL;NULL
04/06/2024;GRUPO MODELO;VW eDelivery;RD1185A;4961;4903;58;53,36;0,92
04/06/2024;ANDESMAR;Nissan Leaf;AF396WR;21224;21184;40;NULL;NULL
04/06/2024;LALA;BYD T45;LPESKB3B6N0000082;160;NULL;NULL;NULL;NULL
04/06/2024;LALA;BYD T45;LG23180;216;198;18;12,47;0,69
04/06/2024;LALA;BYD T45;FB0486B;13822;13773;49;33,96;0,69
04/06/2024;LALA;BYD T45;LG23178;160;NULL;NULL;NULL;NULL
04/06/2024;BOSQUES DE SANTA FE;JAC EJ7;42F134;124093;123965;128;22,44;0,18
04/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;1210276;209595;209390;205;265,45;1,29
04/06/2024;LALA;BYD T45;32J973;15161;15133;28;24,39;0,87
04/06/2024;BIMBO;BYD T4C;49J620;2806;2763;43;18,53;0,43
04/06/2024;LIVERPOOL;JAC E Sunray;27J202;13862;NULL;NULL;NULL;NULL
04/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A016;248573;248297;276;357,39;1,29
04/06/2024;GRUPO MODELO;BYD T018 SWB;RE7713A;19576;19442;134;156,5;1,17
04/06/2024;LALA;BYD T45;PX1147B;116;115;1;0,83;0,83
04/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A012;243369;243079;290;375,52;1,29
04/06/2024;PEPSICO;BYD T4C;LA95BN27XN01C0011;798;798;0;0;NULL
04/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A011;244897;244645;252;326,31;1,29
04/06/2024;LALA;BYD T45;31J780;21021;20999;22;13,72;0,62
04/06/2024;UNILEVER;Fotón TM3;LG25459;1403;1368;35;11,94;0,34
04/06/2024;HEINEKEN;BYD T018 SWB;19193;7455;7433;22;19,65;0,89
04/06/2024;LALA;BYD T45;LG23166;178;NULL;NULL;NULL;NULL
04/06/2024;LALA;BYD T45;32J974;16181;16136;45;36,53;0,81
04/06/2024;LALA;JAC E10X;57J998;107;77;30;3,58;0,12
04/06/2024;BOSQUES DE SANTA FE;JAC EJ7;28F749;135714;135536;178;34,78;0,2
04/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A015;251288;251012;276;341,85;1,24
04/06/2024;LALA;BYD T45;32J980;20651;20591;60;44,55;0,74
04/06/2024;LALA;BYD T45;LG23192;178;NULL;NULL;NULL;NULL
04/06/2024;LALA;BYD T45;LG23176;178;150;28;16,08;0,57
04/06/2024;LALA;JAC E10X;57J869;114;113;1;0,13;0,13
04/06/2024;LIVERPOOL;Renault Kangoo;33J570;18787;18713;74;10,99;0,15
04/06/2024;GRUPO MODELO;BYD T018 SWB;RE7701A;23678;23621;57;63,96;1,12
04/06/2024;ANDESMAR;Nissan Leaf;AF640FI;1397;1396;1;NULL;NULL
04/06/2024;LIVERPOOL;Renault Kangoo;24J527;90418;90283;135;24,5;0,18
04/06/2024;BOSQUES DE SANTA FE;JAC EJ7;80F209;155657;155649;8;1,4;0,18
04/06/2024;HEINEKEN;BYD T018 SWB;19194;12194;12147;47;49,51;1,05
04/06/2024;ANDESMAR;Nissan Leaf;AF640FM;4516;4514;2;NULL;NULL
05/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A012;243645;243369;276;357,39;1,29
05/06/2024;UNILEVER;Fotón S3;LG02452;7743;7668;75;40,04;0,53
05/06/2024;HEINEKEN;BYD T018 SWB;19193;7477;7455;22;19,65;0,89
05/06/2024;ANDESMAR;Nissan Leaf;AF305NK;4225;4225;0;0;NULL
05/06/2024;LALA;BYD T45;LG23182;228;186;42;34,93;0,83
05/06/2024;GRUPO MODELO;VW eDelivery;RD1185A;5005;4961;44;40,48;0,92
05/06/2024;MAXUS;AT EV 2.5;LSF1L2301PD200772;4624;4525;99;NULL;NULL
05/06/2024;LALA;BYD T45;31J780;21070;21021;49;30,56;0,62
05/06/2024;LALA;BYD T45;LG23183;159;159;0;0;NULL
05/06/2024;LALA;JAC E10X;57J998;110;107;3;0,36;0,12
05/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A014;250637;250338;299;387,18;1,29
05/06/2024;LALA;BYD T45;EU2280C;123;117;6;4,22;0,7
05/06/2024;DEMOS;Yutong E12;DEMO-12M-MTY;51379;51378;1;1,05;1,05
05/06/2024;LALA;BYD T45;SY3462D;20318;NULL;NULL;NULL;NULL
05/06/2024;UNILEVER;Fotón S3;LG02465;7599;7523;76;48,35;0,64
05/06/2024;LIVERPOOL;FORD eTransit;32J307;13674;13620;54;14,11;0,26
05/06/2024;LALA;BYD T45;FB0486B;13834;13822;12;8,32;0,69
05/06/2024;SUPREME RESOURCES;BYD T45;A737AG;12026;11903;123;47,49;0,39
05/06/2024;GRUPO MODELO;BYD T018 SWB;RE7115A;20598;20556;42;49,05;1,17
05/06/2024;LALA;BYD T45;LG23178;160;160;0;0;NULL
05/06/2024;GRUPO MODELO;BYD T018 SWB;RE7700A;21891;21763;128;149,49;1,17
05/06/2024;GRUPO MODELO;BYD T018 SWB;RE7713A;19654;19576;78;91,1;1,17
05/06/2024;LALA;BYD T45;PX1147B;116;116;0;0;NULL
05/06/2024;BOSQUES DE SANTA FE;JAC EJ7;80F209;155664;155657;7;1,23;0,18
05/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A011;245189;244897;292;378,11;1,29
05/06/2024;BOSQUES DE SANTA FE;JAC EJ7;28F749;135919;135714;205;40,05;0,2
05/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A016;248870;248573;297;384,59;1,29
05/06/2024;ANDESMAR;Nissan Leaf;AF640FI;1400;1397;3;NULL;NULL
05/06/2024;LALA;BYD T45;EU2193C;122;121;1;0,67;0,67
05/06/2024;LALA;BYD T45;31J867;13512;13478;34;27,6;0,81
05/06/2024;LALA;JAC E10X;58J364;50;50;0;0;NULL
05/06/2024;GRUPO MODELO;VW eDelivery;RN4491A;6972;6951;21;12,18;0,58
05/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A015;251594;251288;306;379,01;1,24
05/06/2024;LALA;BYD T45;RN1592A;17132;17091;41;34,91;0,85
05/06/2024;LALA;BYD T45;LG23190;180;180;0;0;NULL
