dia;Operador;Modelo;Placa;Odometro Final;Odometro Inicial;Distancia Diaria;energy;kWh/km
09/09/2024;LALA;JAC E10X;58J037;7106;7001;105;13,19;0,13
09/09/2024;LALA;JAC E10X;38N095;2254;2179;75;7,77;0,1
09/09/2024;LALA;JAC E10X;57J869;3831;3780;51;6,73;0,13
09/09/2024;LALA;BYD T45;EU2280C;981;948;33;23,2;0,7
09/09/2024;BOSQUES DE SANTA FE;JAC EJ7;42F134;134276;134194;82;14,38;0,18
09/09/2024;LALA;BYD T45;PX1147B;1616;1596;20;16,63;0,83
09/09/2024;ANDESMAR;Nissan Leaf;AF396WR;23240;23209;31;NULL;NULL
09/09/2024;LALA;BYD T45;LG23180;2640;2609;31;21,48;0,69
09/09/2024;ANDESMAR;Nissan Leaf;AF640FM;9018;9015;3;NULL;NULL
09/09/2024;LIVERPOOL;Renault Kangoo;33J570;23109;23056;53;7,87;0,15
09/09/2024;GRUPO MODELO;BYD T018 SWB;RE7711A;25147;25076;71;86,17;1,21
09/09/2024;GRUPO MODELO;BYD T018 SWB;RE7706A;33541;33483;58;66,41;1,15
09/09/2024;LALA;BYD T45;31J772;10586;10560;26;18,28;0,7
09/09/2024;LALA;BYD T45;16N963;19031;18991;40;24,55;0,61
09/09/2024;UNILEVER;Fotón TM3;LG25459;3479;3424;55;18,77;0,34
09/09/2024;LALA;BYD T45;EU2281C;2527;2439;88;46,17;0,52
09/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A015;276214;275977;237;293,55;1,24
09/09/2024;GRUPO MODELO;VW eDelivery;RN4491A;8619;8582;37;21,46;0,58
09/09/2024;LALA;BYD T45;SY3462D;23007;22916;91;47,75;0,52
09/09/2024;LALA;BYD T45;EU2283C;1858;1823;35;20,79;0,59
09/09/2024;DEMOS;Skywell D11;45F111;26956;26956;0;0;NULL
09/09/2024;LALA;JAC E10X;57J997;6715;6584;131;18,1;0,14
09/09/2024;LALA;JAC E10X;33N826;2339;2226;113;11;0,1
09/09/2024;LALA;JAC E10X;57J995;1912;1889;23;3,83;0,17
09/09/2024;LALA;BYD T45;31J780;22861;22833;28;17,46;0,62
09/09/2024;LALA;JAC E10X;38N094;2343;2299;44;5,39;0,12
09/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A014;274610;274332;278;359,98;1,29
09/09/2024;LALA;JAC E10X;58J360;11830;11682;148;17,19;0,12
09/09/2024;BOSQUES DE SANTA FE;JAC EJ7;26F459;170853;170613;240;43,29;0,18
09/09/2024;GRUPO MODELO;BYD T018 SWB;RE7712A;13268;13223;45;54,62;1,21
09/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A016;274936;274888;48;62,16;1,3
09/09/2024;BOSQUES DE SANTA FE;JAC EJ7;26F433;158600;158500;100;16,53;0,17
09/09/2024;LALA;BYD T45;RH1593A;17571;17543;28;21,62;0,77
09/09/2024;LIVERPOOL;FORD eTransit;32J307;17750;17707;43;11,24;0,26
09/09/2024;MAXUS;AT EV 2.5;LSF1L2301PD200772;10656;10631;25;NULL;NULL
09/09/2024;CEMEX;Q3MA;13BA7R;12064;12042;22;NULL;NULL
09/09/2024;LALA;BYD T45;FB0486B;15565;15530;35;24,26;0,69
09/09/2024;LALA;JAC E10X;58J363;4563;4471;92;12,42;0,14
09/09/2024;LALA;BYD T45;32J981;19372;19372;0;0;NULL
09/09/2024;LALA;BYD T45;LG23183;1329;1289;40;30,89;0,77
09/09/2024;LALA;JAC E10X;57J996;3998;3956;42;5,41;0,13
09/09/2024;LALA;BYD T45;LPESKB3B6N0000082;206;200;6;3,68;0,61
09/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A011;269194;269088;106;137,26;1,29
09/09/2024;LIVERPOOL;FORD eTransit;35J480;34304;34233;71;16,17;0,23
09/09/2024;HEINEKEN;BYD T018 SWB;19192;13355;13338;17;12,85;0,76
09/09/2024;LALA;BYD T45;LG23190;2119;2087;32;19,32;0,6
09/09/2024;GRUPO MODELO;VW eDelivery;RN4492A;5122;5093;29;16,53;0,57
09/09/2024;HEINEKEN;BYD T018 SWB;19194;15800;15762;38;40,03;1,05
09/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A012;269189;268922;267;345,74;1,29
09/09/2024;SUPREME RESOURCES;BYD T45;A737AG;18124;17915;209;80,69;0,39
09/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;1210276;232952;232651;301;389,76;1,29
09/09/2024;GRUPO MODELO;BYD T018 SWB;RE7708A;25702;25645;57;73,1;1,28
09/09/2024;LALA;JAC E10X;58J364;2747;2706;41;5,54;0,14
09/09/2024;LALA;BYD T45;PX1148B;2151;2122;29;22,68;0,78
09/09/2024;LALA;BYD T45;RN1592A;20321;20284;37;31,5;0,85
09/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A013;278009;277728;281;363,87;1,29
09/09/2024;GRUPO MODELO;BYD T018 SWB;RE7115A;22473;22448;25;29,2;1,17
09/09/2024;UNILEVER;Fotón S3;LG02465;10788;10731;57;36,26;0,64
09/09/2024;LALA;BYD T45;LPESKB3B4N0000078;206;201;5;3,22;0,64
09/09/2024;SUPREME RESOURCES;BYD T018 SWB;A788AH;21416;21381;35;28,85;0,82
09/09/2024;LALA;JAC E10X;38N093;1344;1305;39;6,25;0,16
09/09/2024;BIMBO;BYD T4C;49J620;3580;3580;0;0;NULL
09/09/2024;GRUPO MODELO;BYD T018 SWB;RE7716A;29394;29341;53;63,11;1,19
09/09/2024;LALA;BYD T45;LG23192;1462;1426;36;26,02;0,72
09/09/2024;LIVERPOOL;JAC E Sunray;27J202;14029;14029;0;0;NULL
09/09/2024;LALA;BYD T45;EU2193C;2366;2327;39;26,25;0,67
09/09/2024;LALA;BYD T45;LG23179;3028;2987;41;30,04;0,73
09/09/2024;LALA;JAC E10X;38N096;2488;2435;53;7,99;0,15
