Placa;dia;Modelo;Odómetro Final;Odómetro Inicial;Distancia Diaria;Consumo Promedio [kWh/km];Energía [kWh];Costo Aproximado [$];kgCO2;Scoring;Nro. de Veloc.;Penalización Veloc.;Nro. de Acel.;Penalización Acel.;Nro. de Fren.;Penalización Fren.
RE7713A;29/8/2024;BYD T018 SWB;25193;25166;27;1,17;31,53;49,19;13,56;9.849.999.994.039.530;0;0;1;0;6;15.000.000.596.046.400
RE7716A;29/8/2024;BYD T018 SWB;28821;28787;34;1,19;40,49;63,16;17,41;100;0;0;0;0;0;0
RN4491A;29/8/2024;VW eDelivery;8358;8325;33;0,58;19,14;29,86;8,23;9.979.999.999.701.970;2;0.20000000298023224;0;0;0;0
RN4492A;29/8/2024;VW eDelivery;4872;4872;0;0,57;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7115A;28/8/2024;BYD T018 SWB;22041;21970;71;1,15;81,3;126,83;34,96;100;0;0;1;0;1;0
RE7700A;28/8/2024;BYD T018 SWB;26689;26644;45;1,17;52,56;81,99;22,6;9.889.999.997.615.810;0;0;3;0.800000011920929;2;0.30000001192092896
RE7701A;28/8/2024;BYD T018 SWB;28973;28909;64;1,12;71,81;112,02;30,88;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;28/8/2024;BYD T018 SWB;7441;7390;51;1,12;57,23;89,28;24,61;9.879.999.995.231.620;0;0;1;0;5;12.000.000.476.837.100
RE7703A;28/8/2024;BYD T018 SWB;25006;24981;25;1,17;29,2;45,55;12,56;100;0;0;0;0;0;0
RE7706A;28/8/2024;BYD T018 SWB;32881;32808;73;1,15;83,59;130,4;35,94;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7707A;28/8/2024;BYD T018 SWB;23850;23845;5;1,15;5,73;8,94;2,46;100;0;0;0;0;0;0
RE7708A;28/8/2024;BYD T018 SWB;25105;25077;28;1,28;35,91;56,02;15,44;100;0;0;0;0;0;0
RE7711A;28/8/2024;BYD T018 SWB;24706;24652;54;1,21;65,54;102,24;28,18;9.849.999.994.039.530;0;0;1;0;6;15.000.000.596.046.400
RE7712A;28/8/2024;BYD T018 SWB;12830;12806;24;1,21;29,13;45,44;12,53;100;0;0;0;0;0;0
RE7713A;28/8/2024;BYD T018 SWB;25166;25119;47;1,17;54,89;85,63;23,6;9.779.999.992.251.390;0;0;2;0.4000000059604645;7;18.000.000.715.255.700
RE7716A;28/8/2024;BYD T018 SWB;28787;28747;40;1,19;47,63;74,3;20,48;100;0;0;0;0;0;0
