dia;Modelo;Placa;odometro  Final;odometro Inicial;Distancia Diaria;Consumo Promedio [kWh/km];Energia [kWh];Costo Aproximado [$MXN];kgCO2;Scoring;Nro. de Veloc.;Penalizacion Veloc.;Nro. de Acel.;Penalizacion  Acel.;Nro. de Fren.;Penalizacion Fren.
3/8/2024;JAC EJ7;28F749;144,584,00;144,488,00;96;0,195;18,76;88,17;8,07;9.789.999.994.635.580;1;0;4;12.000.000.178.813.900;4;0.9000000357627869
2/8/2024;JAC EJ7;28F749;144,488,00;144,328,00;160;0,195;31,26;146,92;13,44;971.999.998.986.721;1;0;2;0.4000000059604645;9;24.000.000.953.674.300
1/8/2024;JAC EJ7;28F749;144,328,00;144,164,00;164;0,195;32,04;150,59;13,78;8.979.999.975.860.110;2;0.20000000298023224;17;6.400.000.095.367.430;13;36.000.001.430.511.400
31/7/2024;JAC EJ7;28F749;144,164,00;144,088,00;76;0,195;14,85;69,8;6,39;9.769.999.992.847.440;0;0;3;0.800000011920929;6;15.000.000.596.046.400
30/7/2024;JAC EJ7;28F749;144,088,00;143,961,00;127;0,195;24,81;116,61;10,67;8.329.999.954.998.490;2;0.20000000298023224;22;8.400.000.125.169.750;28;8.100.000.321.865.080
29/7/2024;JAC EJ7;28F749;143,961,00;143,916,00;45;0,195;8,79;41,31;3,78;9.829.999.995.231.620;0;0;3;0.800000011920929;4;0.9000000357627869
28/7/2024;JAC EJ7;28F749;143,916,00;143,766,00;150;0,195;29,31;137,76;12,6;8.549.999.955.296.510;1;0;14;5.200.000.077.486.030;32;9.300.000.369.548.790
27/7/2024;JAC EJ7;28F749;143,766,00;143,636,00;130;0,195;25,4;119,38;10,92;9.549.999.988.079.070;0;0;7;2.400.000.035.762.780;8;21.000.000.834.465.000
26/7/2024;JAC EJ7;28F749;143,636,00;143,444,00;192;0,195;37,51;176,3;16,13;8.919.999.971.985.810;1;0;16;6.000.000.089.406.960;17;4.800.000.190.734.860
25/7/2024;JAC EJ7;28F749;143,444,00;143,313,00;131;0,195;25,6;120,32;11,01;9.259.999.984.502.790;0;0;15;5.600.000.083.446.500;7;18.000.000.715.255.700
24/7/2024;JAC EJ7;28F749;143,313,00;143,236,00;77;0,195;15,05;70,74;6,47;9.249.999.979.138.370;1;0;10;36.000.000.536.441.800;14;39.000.001.549.720.700
23/7/2024;JAC EJ7;28F749;143,236,00;143,120,00;116;0,195;22,67;106,55;9,75;9.579.999.989.271.160;0;0;7;2.400.000.035.762.780;7;18.000.000.715.255.700
22/7/2024;JAC EJ7;28F749;143,120,00;143,073,00;47;0,195;9,18;43,15;3,95;9.699.999.991.059.300;1;0;4;12.000.000.178.813.900;7;18.000.000.715.255.700
21/7/2024;JAC EJ7;28F749;143,073,00;142,964,00;109;0,195;21,3;100,11;9,16;9.499.999.988.079.070;1;0;9;3.200.000.047.683.710;7;18.000.000.715.255.700
20/7/2024;JAC EJ7;28F749;142,964,00;142,859,00;105;0,195;20,52;96,44;8,82;9.549.999.988.079.070;1;0;7;2.400.000.035.762.780;8;21.000.000.834.465.000
19/7/2024;JAC EJ7;28F749;142,859,00;142,763,00;96;0,195;18,76;88,17;8,07;9.529.999.986.290.930;1;0;6;20.000.000.298.023.200;10;27.000.001.072.883.600
18/7/2024;JAC EJ7;28F749;142,763,00;142,650,00;113;0,195;22,08;103,78;9,49;9.389.999.982.714.650;1;0;8;28.000.000.417.232.500;12;33.000.001.311.302.100
17/7/2024;JAC EJ7;28F749;142,650,00;142,634,00;16;0,195;3,13;14,71;1,35;100;0;0;0;0;1;0
16/7/2024;JAC EJ7;28F749;142,634,00;142,506,00;128;0,195;25,01;117,55;10,75;9.509.999.987.483.020;1;0;8;28.000.000.417.232.500;8;21.000.000.834.465.000
15/7/2024;JAC EJ7;28F749;142,506,00;142,309,00;197;0,195;38,49;180,9;16,55;8.259.999.951.720.230;1;0;22;8.400.000.125.169.750;31;9.000.000.357.627.860
14/7/2024;JAC EJ7;28F749;142,309,00;142,133,00;176;0,195;34,39;161,63;14,79;9.809.999.993.443.480;1;0;2;0.4000000059604645;6;15.000.000.596.046.400
13/7/2024;JAC EJ7;28F749;142,133,00;141,985,00;148;0,195;28,92;135,92;12,44;8.789.999.967.813.490;1;0;17;6.400.000.095.367.430;20;570.000.022.649.765
12/7/2024;JAC EJ7;28F749;141,985,00;141,711,00;274;0,195;53,54;251,64;23,02;9.199.999.979.138.370;5;0.800000011920929;10;36.000.000.536.441.800;13;36.000.001.430.511.400
11/7/2024;JAC EJ7;28F749;141,711,00;141,483,00;228;0,195;44,55;209,39;19,16;8.129.999.949.038.020;4;0.6000000089406967;23;8.800.000.131.130.210;32;9.300.000.369.548.790
10/7/2024;JAC EJ7;28F749;141,483,00;141,373,00;110;0,195;21,49;101;9,24;9.469.999.986.886.970;0;0;9;3.200.000.047.683.710;8;21.000.000.834.465.000
9/7/2024;JAC EJ7;28F749;141,373,00;141,303,00;70;0,195;13,68;64,3;5,88;9.069.999.971.985.810;0;0;10;36.000.000.536.441.800;20;570.000.022.649.765
8/7/2024;JAC EJ7;28F749;141,303,00;141,265,00;38;0,195;7,42;34,87;3,19;9.819.999.995.827.670;1;0;4;12.000.000.178.813.900;3;0.6000000238418579
7/7/2024;JAC EJ7;28F749;141,265,00;141,086,00;179;0,195;34,97;164,36;15,04;9.509.999.985.992.900;2;0.20000000298023224;6;20.000.000.298.023.200;10;27.000.001.072.883.600
6/7/2024;JAC EJ7;28F749;141,086,00;140,919,00;167;0,195;32,63;153,36;14,03;9.419.999.985.396.860;2;0.20000000298023224;9;3.200.000.047.683.710;9;24.000.000.953.674.300
5/7/2024;JAC EJ7;28F749;140,919,00;140,639,00;280;0,195;54,71;257,14;23,53;825.999.994.724.989;2;0.20000000298023224;17;6.400.000.095.367.430;37;10.800.000.429.153.400
4/7/2024;JAC EJ7;28F749;140,639,00;140,564,00;75;0,195;14,65;68,86;6,3;966.999.998.986.721;0;0;4;12.000.000.178.813.900;8;21.000.000.834.465.000
3/7/2024;JAC EJ7;28F749;140,564,00;140,398,00;166;0,195;32,43;152,42;13,94;8.949.999.971.687.790;6;10.000.000.149.011.600;12;4.400.000.065.565.100;18;5.100.000.202.655.790
2/7/2024;JAC EJ7;28F749;140,398,00;140,246,00;152;0,195;29,7;139,59;12,77;9.289.999.979.734.420;1;0;9;3.200.000.047.683.710;14;39.000.001.549.720.700
1/7/2024;JAC EJ7;28F749;140,246,00;140,115,00;131;0,195;25,6;120,32;11,01;9.749.999.994.039.530;0;0;5;1.600.000.023.841.850;4;0.9000000357627869
30/6/2024;JAC EJ7;28F749;140,115,00;139,882,00;233;0,195;45,53;213,99;19,58;9.529.999.986.290.930;3;0.4000000059604645;5;1.600.000.023.841.850;10;27.000.001.072.883.600
29/6/2024;JAC EJ7;28F749;139,882,00;139,604,00;278;0,195;54,32;255,3;23,36;898.999.997.228.384;2;0.20000000298023224;13;4.800.000.071.525.570;18;5.100.000.202.655.790
28/6/2024;JAC EJ7;28F749;139,604,00;139,478,00;126;0,195;24,62;115,71;10,59;9.469.999.983.906.740;0;0;6;20.000.000.298.023.200;12;33.000.001.311.302.100
27/6/2024;JAC EJ7;28F749;139,478,00;139,332,00;146;0,195;28,53;134,09;12,27;941.999.998.241.663;4;0.6000000089406967;5;1.600.000.023.841.850;13;36.000.001.430.511.400
26/6/2024;JAC EJ7;28F749;139,332,00;139,195,00;137;0,195;26,77;125,82;11,51;871.999.996.304.512;0;0;15;5.600.000.083.446.500;25;7.200.000.286.102.290
25/6/2024;JAC EJ7;28F749;139,195,00;139,100,00;95;0,195;18,56;87,23;7,98;9.399.999.985.098.830;1;0;10;36.000.000.536.441.800;9;24.000.000.953.674.300
24/6/2024;JAC EJ7;28F749;139,100,00;139,007,00;93;0,195;18,17;85,4;7,81;9.599.999.989.569.180;2;0.20000000298023224;6;20.000.000.298.023.200;7;18.000.000.715.255.700
23/6/2024;JAC EJ7;28F749;139,007,00;138,896,00;111;0,195;21,69;101,94;9,33;9.899.999.997.019.760;0;0;2;0.4000000059604645;3;0.6000000238418579
22/6/2024;JAC EJ7;28F749;138,896,00;138,715,00;181;0,195;35,37;166,24;15,21;9.269.999.977.946.280;1;0;8;28.000.000.417.232.500;16;4.500.000.178.813.930
21/6/2024;JAC EJ7;28F749;138,715,00;138,537,00;178;0,195;34,78;163,47;14,96;8.989.999.970.793.720;1;0;12;4.400.000.065.565.100;20;570.000.022.649.765
20/6/2024;JAC EJ7;28F749;138,537,00;138,377,00;160;0,195;31,26;146,92;13,44;9.319.999.977.946.280;0;0;6;20.000.000.298.023.200;17;4.800.000.190.734.860
19/6/2024;JAC EJ7;28F749;138,377,00;138,250,00;127;0,195;24,81;116,61;10,67;9.659.999.990.463.250;0;0;5;1.600.000.023.841.850;7;18.000.000.715.255.700
17/6/2024;JAC EJ7;28F749;138,232,00;138,138,00;94;0,195;18,37;86,34;7,9;9.549.999.988.079.070;1;0;7;2.400.000.035.762.780;8;21.000.000.834.465.000
16/6/2024;JAC EJ7;28F749;138,138,00;137,952,00;186;0,195;36,34;170,8;15,63;9.549.999.985.098.830;1;0;4;12.000.000.178.813.900;12;33.000.001.311.302.100
15/6/2024;JAC EJ7;28F749;137,952,00;137,623,00;329;0,195;64,28;302,12;27,64;840.999.995.470.047;3;0.4000000059604645;18;6.800.000.101.327.890;30;870.000.034.570.694
14/6/2024;JAC EJ7;28F749;137,623,00;137,405,00;218;0,195;42,6;200,22;18,32;8.099.999.950.826.160;2;0.20000000298023224;27;10.400.000.154.972.000;29;840.000.033.378.601
13/6/2024;JAC EJ7;28F749;137,405,00;137,278,00;127;0,195;24,81;116,61;10,67;8.799.999.971.687.790;2;0.20000000298023224;20;7.600.000.113.248.820;15;4.200.000.166.893.000
12/6/2024;JAC EJ7;28F749;137,278,00;137,132,00;146;0,195;28,53;134,09;12,27;9.069.999.974.966.040;1;0;13;4.800.000.071.525.570;16;4.500.000.178.813.930
11/6/2024;JAC EJ7;28F749;137,132,00;136,956,00;176;0,195;34,39;161,63;14,79;7.919.999.948.143.950;3;0.4000000059604645;31;12.000.000.178.813.900;29;840.000.033.378.601
10/6/2024;JAC EJ7;28F749;136,956,00;136,854,00;102;0,195;19,93;93,67;8,57;8.929.999.968.409.530;0;0;12;4.400.000.065.565.100;22;6.300.000.250.339.500
9/6/2024;JAC EJ7;28F749;136,854,00;136,594,00;260;0,195;50,8;238,76;21,84;9.129.999.977.350.230;5;0.800000011920929;11;4.000.000.059.604.640;14;39.000.001.549.720.700
8/6/2024;JAC EJ7;28F749;136,594,00;136,329,00;265;0,195;51,78;243,37;22,27;7.219.999.925.792.210;2;0.20000000298023224;37;14.400.000.214.576.700;45;13.200.000.524.520.800
7/6/2024;JAC EJ7;28F749;136,329,00;136,141,00;188;0,195;36,73;172,63;15,79;852.999.995.648.861;1;0;16;6.000.000.089.406.960;30;870.000.034.570.694
6/6/2024;JAC EJ7;28F749;136,141,00;135,919,00;222;0,195;43,38;203,89;18,65;8.559.999.956.190.580;2;0.20000000298023224;14;5.200.000.077.486.030;31;9.000.000.357.627.860
5/6/2024;JAC EJ7;28F749;135,919,00;135,714,00;205;0,195;40,05;188,24;17,22;8.459.999.951.720.230;5;0.800000011920929;12;4.400.000.065.565.100;35;10.200.000.405.311.500
4/6/2024;JAC EJ7;28F749;135,714,00;135,536,00;178;0,195;34,78;163,47;14,96;9.609.999.990.463.250;0;0;7;2.400.000.035.762.780;6;15.000.000.596.046.400
3/6/2024;JAC EJ7;28F749;135,536,00;135,401,00;135;0,195;26,38;123,99;11,34;8.979.999.974.370.000;0;0;16;6.000.000.089.406.960;15;4.200.000.166.893.000
2/6/2024;JAC EJ7;28F749;135,401,00;135,056,00;345;0,195;67,41;316,83;28,99;7.229.999.914.765.350;5;0.800000011920929;24;9.200.000.137.090.680;60;1.770.000.070.333.480
1/6/2024;JAC EJ7;28F749;135,056,00;134,857,00;199;0,195;38,88;182,74;16,72;8.799.999.961.256.980;0;0;10;36.000.000.536.441.800;29;840.000.033.378.601
25/6/2024;JAC EJ7;42F134;124,708,00;124,692,00;16;0,175;2,81;13,21;1,21;NULL;NULL;NULL;NULL;NULL;NULL;NULL
27/6/2024;JAC EJ7;42F134;124,816,00;124,753,00;63;0,175;11,05;51,94;4,75;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2/7/2024;JAC EJ7;42F134;125,289,00;125,264,00;25;0,175;4,38;20,59;1,88;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21/6/2024;JAC EJ7;42F134;124,647,00;124,608,00;39;0,175;6,84;32,15;2,94;NULL;NULL;NULL;NULL;NULL;NULL;NULL
11/6/2024;JAC EJ7;42F134;124,586,00;124,586,00;0;0,175;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31/8/2024;JAC EJ7;42F134;132,801,00;132,658,00;143;0,175;25,08;117,88;10,78;9.619.999.988.377.090;2;0.20000000298023224;4;12.000.000.178.813.900;9;24.000.000.953.674.300
30/8/2024;JAC EJ7;42F134;132,658,00;132,496,00;162;0,175;28,41;133,53;12,22;9.329.999.980.330.460;1;0;8;28.000.000.417.232.500;14;39.000.001.549.720.700
29/8/2024;JAC EJ7;42F134;132,496,00;132,363,00;133;0,175;23,32;109,6;10,03;9.129.999.974.370.000;1;0;10;36.000.000.536.441.800;18;5.100.000.202.655.790
28/8/2024;JAC EJ7;42F134;132,363,00;132,263,00;100;0,175;17,54;82,44;7,54;930.999.998.152.256;1;0;10;36.000.000.536.441.800;12;33.000.001.311.302.100
27/8/2024;JAC EJ7;42F134;132,263,00;132,124,00;139;0,175;24,37;114,54;10,48;8.329.999.962.449.070;3;0.4000000059604645;29;11.200.000.166.893.000;18;5.100.000.202.655.790
26/8/2024;JAC EJ7;42F134;132,124,00;131,936,00;188;0,175;32,97;154,96;14,18;7.149.999.925.494.190;3;0.4000000059604645;39;1.520.000.022.649.760;44;12.900.000.512.599.900
25/8/2024;JAC EJ7;42F134;131,936,00;131,794,00;142;0,175;24,9;117,03;10,71;9.359.999.984.502.790;0;0;11;4.000.000.059.604.640;9;24.000.000.953.674.300
24/8/2024;JAC EJ7;42F134;131,794,00;131,597,00;197;0,175;34,54;162,34;14,85;7.919.999.949.634.070;2;0.20000000298023224;33;12.800.000.190.734.800;27;7.800.000.309.944.150
23/8/2024;JAC EJ7;42F134;131,597,00;131,398,00;199;0,175;34,89;163,98;15;8.869.999.964.535.230;4;0.6000000089406967;9;3.200.000.047.683.710;26;7.500.000.298.023.220
22/8/2024;JAC EJ7;42F134;131,398,00;131,222,00;176;0,175;30,86;145,04;13,27;846.999.996.304.512;1;0;25;9.600.000.143.051.140;20;570.000.022.649.765
21/8/2024;JAC EJ7;42F134;131,222,00;131,069,00;153;0,175;26,83;126,1;11,54;9.059.999.969.601.630;1;0;8;28.000.000.417.232.500;23;6.600.000.262.260.430
20/8/2024;JAC EJ7;42F134;131,069,00;130,969,00;100;0,175;17,54;82,44;7,54;9.849.999.997.019.760;1;0;4;12.000.000.178.813.900;2;0.30000001192092896
19/8/2024;JAC EJ7;42F134;130,969,00;130,874,00;95;0,175;16,66;78,3;7,16;9.239.999.982.714.650;1;0;14;5.200.000.077.486.030;9;24.000.000.953.674.300
18/8/2024;JAC EJ7;42F134;130,874,00;130,705,00;169;0,175;29,63;139,26;12,74;9.139.999.976.754.180;1;0;12;4.400.000.065.565.100;15;4.200.000.166.893.000
17/8/2024;JAC EJ7;42F134;130,705,00;130,560,00;145;0,175;25,43;119,52;10,93;9.239.999.979.734.420;0;0;11;4.000.000.059.604.640;13;36.000.001.430.511.400
16/8/2024;JAC EJ7;42F134;130,560,00;130,316,00;244;0,175;42,79;201,11;18,4;8.439.999.961.853.020;0;0;25;9.600.000.143.051.140;21;6.000.000.238.418.570
15/8/2024;JAC EJ7;42F134;130,316,00;130,116,00;200;0,175;35,07;164,83;15,08;9.069.999.976.456.160;4;0.6000000089406967;13;4.800.000.071.525.570;14;39.000.001.549.720.700
14/8/2024;JAC EJ7;42F134;130,116,00;129,930,00;186;0,175;32,62;153,31;14,03;7.839.999.949.932.090;3;0.4000000059604645;36;14.000.000.208.616.200;25;7.200.000.286.102.290
13/8/2024;JAC EJ7;42F134;129,930,00;129,751,00;179;0,175;31,39;147,53;13,5;8.789.999.969.303.600;2;0.20000000298023224;18;6.800.000.101.327.890;18;5.100.000.202.655.790
12/8/2024;JAC EJ7;42F134;129,751,00;129,666,00;85;0,175;14,9;70,03;6,41;919.999.998.062.849;2;0.20000000298023224;13;4.800.000.071.525.570;11;30.000.001.192.092.800
11/8/2024;JAC EJ7;42F134;129,666,00;129,578,00;88;0,175;15,43;72,52;6,63;9.529.999.986.290.930;0;0;6;20.000.000.298.023.200;10;27.000.001.072.883.600
10/8/2024;JAC EJ7;42F134;129,578,00;129,405,00;173;0,175;30,34;142,6;13,05;8.609.999.963.641.160;0;0;20;7.600.000.113.248.820;22;6.300.000.250.339.500
9/8/2024;JAC EJ7;42F134;129,405,00;129,256,00;149;0,175;26,13;122,81;11,24;9.079.999.974.370.000;1;0;12;4.400.000.065.565.100;17;4.800.000.190.734.860
8/8/2024;JAC EJ7;42F134;129,256,00;129,168,00;88;0,175;15,43;72,52;6,63;9.059.999.978.542.320;1;0;17;6.400.000.095.367.430;11;30.000.001.192.092.800
7/8/2024;JAC EJ7;42F134;129,168,00;129,111,00;57;0,175;9,99;46,95;4,3;9.659.999.990.463.250;1;0;5;1.600.000.023.841.850;7;18.000.000.715.255.700
6/8/2024;JAC EJ7;42F134;129,111,00;128,991,00;120;0,175;21,04;98,89;9,05;9.339.999.982.714.650;0;0;10;36.000.000.536.441.800;11;30.000.001.192.092.800
5/8/2024;JAC EJ7;42F134;128,991,00;128,914,00;77;0,175;13,5;63,45;5,81;9.419.999.986.886.970;0;0;11;4.000.000.059.604.640;7;18.000.000.715.255.700
4/8/2024;JAC EJ7;42F134;128,914,00;128,836,00;78;0,175;13,68;64,3;5,88;9.919.999.998.807.900;0;0;3;0.800000011920929;0;0
3/8/2024;JAC EJ7;42F134;128,836,00;128,735,00;101;0,175;17,71;83,24;7,62;9.499.999.985.098.830;0;0;6;20.000.000.298.023.200;11;30.000.001.192.092.800
2/8/2024;JAC EJ7;42F134;128,735,00;128,597,00;138;0,175;24,2;113,74;10,41;8.919.999.974.966.040;1;0;19;7.200.000.107.288.360;13;36.000.001.430.511.400
1/8/2024;JAC EJ7;42F134;128,597,00;128,479,00;118;0,175;20,69;97,24;8,9;8.879.999.968.409.530;1;0;14;5.200.000.077.486.030;21;6.000.000.238.418.570
31/7/2024;JAC EJ7;42F134;128,479,00;128,398,00;81;0,175;14,2;66,74;6,11;941.999.998.241.663;2;0.20000000298023224;6;20.000.000.298.023.200;13;36.000.001.430.511.400
30/7/2024;JAC EJ7;42F134;128,398,00;128,271,00;127;0,175;22,27;104,67;9,58;930.999.998.152.256;0;0;10;36.000.000.536.441.800;12;33.000.001.311.302.100
29/7/2024;JAC EJ7;42F134;128,271,00;128,096,00;175;0,175;30,69;144,24;13,2;9.789.999.994.635.580;0;0;4;12.000.000.178.813.900;4;0.9000000357627869
28/7/2024;JAC EJ7;42F134;128,096,00;127,965,00;131;0,175;22,97;107,96;9,88;889.999.997.317.791;0;0;18;6.800.000.101.327.890;15;4.200.000.166.893.000
27/7/2024;JAC EJ7;42F134;127,965,00;127,728,00;237;0,175;41,56;195,33;17,87;972.999.999.076.128;2;0.20000000298023224;2;0.4000000059604645;8;21.000.000.834.465.000
26/7/2024;JAC EJ7;42F134;127,728,00;127,491,00;237;0,175;41,56;195,33;17,87;9.239.999.978.244.300;2;0.20000000298023224;9;3.200.000.047.683.710;15;4.200.000.166.893.000
25/7/2024;JAC EJ7;42F134;127,491,00;127,408,00;83;0,175;14,55;68,39;6,26;9.969.999.998.807.900;1;0;1;0;2;0.30000001192092896
24/7/2024;JAC EJ7;42F134;127,408,00;127,334,00;74;0,175;12,98;61,01;5,58;9.739.999.994.635.580;0;0;6;20.000.000.298.023.200;3;0.6000000238418579
23/7/2024;JAC EJ7;42F134;127,334,00;127,305,00;29;0,175;5,09;23,92;2,19;100;1;0;1;0;1;0
22/7/2024;JAC EJ7;42F134;127,305,00;127,249,00;56;0,175;9,82;46,15;4,22;9.459.999.984.502.790;0;0;7;2.400.000.035.762.780;11;30.000.001.192.092.800
21/7/2024;JAC EJ7;42F134;127,249,00;127,163,00;86;0,175;15,08;70,88;6,48;9.779.999.995.231.620;0;0;5;1.600.000.023.841.850;3;0.6000000238418579
20/7/2024;JAC EJ7;42F134;127,163,00;127,084,00;79;0,175;13,85;65,1;5,96;968.999.999.165.535;1;0;5;1.600.000.023.841.850;6;15.000.000.596.046.400
19/7/2024;JAC EJ7;42F134;127,084,00;126,945,00;139;0,175;24,37;114,54;10,48;9.299.999.976.158.140;1;0;5;1.600.000.023.841.850;19;5.400.000.214.576.720
18/7/2024;JAC EJ7;42F134;126,945,00;126,896,00;49;0,175;8,59;40,37;3,69;100;0;0;0;0;0;0
17/7/2024;JAC EJ7;42F134;126,896,00;126,819,00;77;0,175;13,5;63,45;5,81;9.909.999.996.423.720;0;0;1;0;4;0.9000000357627869
16/7/2024;JAC EJ7;42F134;126,819,00;126,616,00;203;0,175;35,6;167,32;15,31;9.469.999.983.906.740;1;0;6;20.000.000.298.023.200;12;33.000.001.311.302.100
15/7/2024;JAC EJ7;42F134;126,616,00;126,446,00;170;0,175;29,81;140,11;12,82;8.829.999.966.919.420;2;0.20000000298023224;14;5.200.000.077.486.030;22;6.300.000.250.339.500
14/7/2024;JAC EJ7;42F134;126,446,00;126,315,00;131;0,175;22,97;107,96;9,88;9.909.999.996.423.720;1;0;1;0;4;0.9000000357627869
13/7/2024;JAC EJ7;42F134;126,315,00;126,287,00;28;0,175;4,91;23,08;2,11;100;0;0;0;0;1;0
12/7/2024;JAC EJ7;42F134;126,287,00;126,208,00;79;0,175;13,85;65,1;5,96;892.999.997.138.977;1;0;15;5.600.000.083.446.500;18;5.100.000.202.655.790
11/7/2024;JAC EJ7;42F134;126,208,00;126,025,00;183;0,175;32,09;150,82;13,8;9.459.999.984.502.790;1;0;7;2.400.000.035.762.780;11;30.000.001.192.092.800
10/7/2024;JAC EJ7;42F134;126,025,00;125,932,00;93;0,175;16,31;76,66;7,01;100;0;0;0;0;0;0
9/7/2024;JAC EJ7;42F134;125,932,00;125,848,00;84;0,175;14,73;69,23;6,33;9.589.999.990.165.230;2;0.20000000298023224;7;2.400.000.035.762.780;6;15.000.000.596.046.400
8/7/2024;JAC EJ7;42F134;125,848,00;125,842,00;6;0,175;1,05;4,94;0,45;100;0;0;0;0;0;0
7/7/2024;JAC EJ7;42F134;125,842,00;125,816,00;26;0,175;4,56;21,43;1,96;9.739.999.994.635.580;0;0;6;20.000.000.298.023.200;3;0.6000000238418579
6/7/2024;JAC EJ7;42F134;125,816,00;125,699,00;117;0,175;20,52;96,44;8,82;9.669.999.992.847.440;0;0;7;2.400.000.035.762.780;4;0.9000000357627869
5/7/2024;JAC EJ7;42F134;125,699,00;125,549,00;150;0,175;26,3;123,61;11,31;9.659.999.993.443.480;1;0;8;28.000.000.417.232.500;3;0.6000000238418579
4/7/2024;JAC EJ7;42F134;125,549,00;125,442,00;107;0,175;18,76;88,17;8,07;9.589.999.988.675.110;1;0;6;20.000.000.298.023.200;8;21.000.000.834.465.000
3/7/2024;JAC EJ7;42F134;125,442,00;125,289,00;153;0,175;26,83;126,1;11,54;9.869.999.995.827.670;0;0;2;0.4000000059604645;4;0.9000000357627869
1/7/2024;JAC EJ7;42F134;125,264,00;125,143,00;121;0,175;21,22;99,73;9,12;9.469.999.986.886.970;0;0;9;3.200.000.047.683.710;8;21.000.000.834.465.000
30/6/2024;JAC EJ7;42F134;125,143,00;125,094,00;49;0,175;8,59;40,37;3,69;9.969.999.998.807.900;0;0;0;0;2;0.30000001192092896
29/6/2024;JAC EJ7;42F134;125,094,00;124,945,00;149;0,175;26,13;122,81;11,24;9.059.999.975.562.090;1;0;14;5.200.000.077.486.030;15;4.200.000.166.893.000
28/6/2024;JAC EJ7;42F134;124,945,00;124,816,00;129;0,175;22,62;106,31;9,73;9.449.999.985.098.830;0;0;8;28.000.000.417.232.500;10;27.000.001.072.883.600
26/6/2024;JAC EJ7;42F134;124,753,00;124,708,00;45;0,175;7,89;37,08;3,39;9.969.999.998.807.900;0;0;1;0;2;0.30000001192092896
24/6/2024;JAC EJ7;42F134;124,692,00;124,685,00;7;0,175;1,23;5,78;0,53;100;0;0;0;0;0;0
22/6/2024;JAC EJ7;42F134;124,685,00;124,647,00;38;0,175;6,66;31,3;2,86;9.899.999.997.019.760;0;0;2;0.4000000059604645;3;0.6000000238418579
20/6/2024;JAC EJ7;42F134;124,608,00;124,603,00;5;0,175;0,88;4,14;0,38;100;0;0;0;0;0;0
19/6/2024;JAC EJ7;42F134;124,603,00;124,602,00;1;0,175;0,18;0,85;0,08;100;0;0;0;0;0;0
15/6/2024;JAC EJ7;42F134;124,602,00;124,596,00;6;0,175;1,05;4,94;0,45;100;0;0;0;0;0;0
13/6/2024;JAC EJ7;42F134;124,596,00;124,594,00;2;0,175;0,35;1,65;0,15;100;0;0;0;0;0;0
12/6/2024;JAC EJ7;42F134;124,594,00;124,586,00;8;0,175;1,4;6,58;0,6;100;0;0;0;0;0;0
9/6/2024;JAC EJ7;42F134;124,586,00;124,576,00;10;0,175;1,75;8,23;0,75;992.999.999.821.186;0;0;2;0.4000000059604645;2;0.30000001192092896
8/6/2024;JAC EJ7;42F134;124,576,00;124,540,00;36;0,175;6,31;29,66;2,71;100;0;0;0;0;0;0
7/6/2024;JAC EJ7;42F134;124,540,00;124,363,00;177;0,175;31,04;145,89;13,35;904.999.997.317.791;1;0;12;4.400.000.065.565.100;18;5.100.000.202.655.790
6/6/2024;JAC EJ7;42F134;124,363,00;124,232,00;131;0,175;22,97;107,96;9,88;9.309.999.978.542.320;7;12.000.000.178.813.900;4;12.000.000.178.813.900;16;4.500.000.178.813.930
5/6/2024;JAC EJ7;42F134;124,232,00;124,093,00;139;0,175;24,37;114,54;10,48;9.119.999.974.966.040;0;0;11;4.000.000.059.604.640;17;4.800.000.190.734.860
4/6/2024;JAC EJ7;42F134;124,093,00;123,965,00;128;0,175;22,44;105,47;9,65;9.019.999.970.495.700;2;0.20000000298023224;10;36.000.000.536.441.800;21;6.000.000.238.418.570
3/6/2024;JAC EJ7;42F134;123,965,00;123,797,00;168;0,175;29,46;138,46;12,67;8.369.999.957.084.650;0;0;23;8.800.000.131.130.210;26;7.500.000.298.023.220
2/6/2024;JAC EJ7;42F134;123,797,00;123,627,00;170;0,175;29,81;140,11;12,82;8.599.999.965.727.320;2;0.20000000298023224;22;8.400.000.125.169.750;19;5.400.000.214.576.720
1/6/2024;JAC EJ7;42F134;123,627,00;123,376,00;251;0,175;44,01;206,85;18,92;8.799.999.970.197.670;0;0;19;7.200.000.107.288.360;17;4.800.000.190.734.860
17/6/2024;JAC EJ7;80F209;157,478,00;157,378,00;100;0,175;17,54;82,44;7,54;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16/6/2024;JAC EJ7;80F209;157,378,00;157,154,00;224;0,175;39,28;184,62;16,89;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1/7/2024;JAC EJ7;80F209;159,524,00;159,386,00;138;0,175;24,2;113,74;10,41;NULL;NULL;NULL;NULL;NULL;NULL;NULL
20/6/2024;JAC EJ7;80F209;157,777,00;157,724,00;53;0,175;9,29;43,66;3,99;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10/7/2024;JAC EJ7;80F209;160,950,00;160,836,00;114;0,175;19,99;93,95;8,6;NULL;NULL;NULL;NULL;NULL;NULL;NULL
